BTC,ETH,BNB,SOL,USDC,XRP,DOGE,ADA,SHIB,AVAX,TRX,DOT,LINK,BCH,NEAR,MATIC,UNI,LTC,PEPE,DAI,ICP,ETC,APT,RNDR,STX,HBAR,XMR,FIL,ATOM,INJ,XLM,IMX,ARB,FDUSD,WIF,GRT,TAO,SUI,OP,VET,AR,FLOKI,MKR
43137.95,2587.4,315.2,97.61,1.0003,0.5757,0.08134,0.5356,9.67e-06,35.57,0.10807,7.493,15.271,251.2,3.24,0.845,6.825,69.44,1.24e-06,,12.685,27.29,9.4361,3.975,1.6333,0.0806,157.4,5.857,10.288,40.756,0.1185,2.086,2.1509,1.0018,,0.1693,,1.2704,3.602,0.0305,9.999,3.146e-05,2012.0
42776.1,2530.19,309.4,102.1,1.001,0.5685,0.08059,0.5282,9.53e-06,36.06,0.10838,7.35,15.761,244.2,3.308,0.8103,6.77,69.46,1.21e-06,,12.174,26.18,9.3359,4.196,1.5747,0.0789,157.8,5.79,10.153,39.166,0.1188,2.0477,2.0383,1.002,,0.1676,,1.2933,3.457,0.0301,9.751,3.072e-05,1996.0
41327.5,2470.81,313.0,94.4,1.001,0.552,0.07808,0.5026,9.21e-06,33.59,0.10813,7.017,14.658,237.7,3.083,0.7861,6.32,68.11,1.14e-06,,11.485,24.46,8.7189,4.322,1.4855,0.0753,153.2,5.616,9.7,35.986,0.1143,1.935,1.8918,1.0041,,0.1548,,1.1586,3.215,0.02853,9.632,2.926e-05,1988.0
41659.03,2492.0,314.7,93.62,1.0009,0.5443,0.07857,0.5044,9.31e-06,32.73,0.1105,6.894,16.118,236.8,3.01,0.7621,6.357,71.29,1.14e-06,,11.213,25.33,8.5855,4.127,1.4958,0.0755,158.4,5.48,9.71,36.15,0.1139,1.9374,1.8564,1.0037,,0.1535,,1.1659,3.204,0.02859,10.14,2.925e-05,1966.0
41696.04,2472.01,317.2,92.88,1.0007,0.5534,0.08777,0.516,9.68e-06,32.89,0.11006,6.913,15.781,239.1,2.967,0.7871,6.497,71.36,1.17e-06,,11.439,24.72,8.5718,4.004,1.4874,0.0764,156.7,5.513,9.845,35.43,0.1155,1.9192,1.8169,1.0025,,0.1603,,1.1024,3.196,0.02851,9.763,3.425e-05,1972.0
41580.33,2457.05,318.6,91.09,1.0006,0.5464,0.08546,0.5032,9.35e-06,32.54,0.10895,6.817,15.396,236.9,2.922,0.7835,6.377,71.75,1.13e-06,,11.107,24.51,8.4456,3.976,1.4556,0.0755,157.6,5.362,9.651,35.95,0.1156,1.9174,1.8162,1.0016,,0.1599,,1.0613,3.119,0.02797,9.443,3.114e-05,1991.0
39568.02,2314.2,305.9,83.84,1.0012,0.5275,0.08057,0.4786,8.93e-06,29.53,0.10931,6.341,14.598,235.7,2.649,0.7473,6.048,67.36,1.06e-06,,10.476,22.95,8.0498,3.752,1.3332,0.0713,150.7,5.046,9.18,33.88,0.1127,1.7803,1.6888,1.0015,,0.1489,,1.0739,2.981,0.02612,8.587,2.886e-05,1933.0
39897.6,2242.6,298.8,84.35,1.0008,0.5183,0.07821,0.4773,8.83e-06,30.63,0.10722,6.361,14.3,229.6,2.65,0.7255,5.842,65.5,1.04e-06,,10.484,23.13,8.74,3.749,1.3957,0.0706,150.5,4.893,9.23,32.97,0.1116,1.8639,1.6902,0.9998,,0.1475,,1.1859,2.821,0.02661,8.495,2.85e-05,1931.0
40084.88,2235.02,293.1,88.77,1.0005,0.5181,0.07904,0.4765,8.9e-06,31.2,0.10882,6.462,14.243,236.3,2.68,0.739,5.866,66.13,1.04e-06,,11.529,23.0,8.5743,3.861,1.4776,0.0722,152.6,5.01,9.344,33.05,0.1126,1.8608,1.7376,0.9985,,0.1532,,1.2926,2.857,0.02715,8.709,2.878e-05,2126.0
39961.09,2218.64,292.1,86.91,1.0005,0.5138,0.07795,0.4666,8.87e-06,30.51,0.11212,6.438,13.744,236.6,2.696,0.7324,5.75,65.5,1.03e-06,,11.141,23.26,8.3293,3.714,1.4549,0.0713,157.2,4.967,9.234,31.82,0.1118,1.8259,1.7322,0.9989,,0.1494,,1.1785,2.937,0.02707,8.569,2.831e-05,2094.0
41823.51,2267.68,302.2,92.28,1.0002,0.5323,0.07985,0.4849,9.04e-06,32.26,0.11448,6.672,14.187,241.8,2.917,0.759,5.949,67.05,1.08e-06,,12.157,23.9,8.7197,3.921,1.5082,0.0744,159.3,5.175,9.63,33.72,0.1159,1.9014,1.8171,0.9993,,0.1562,,1.4588,3.069,0.02799,8.947,2.902e-05,2075.0
42120.63,2267.94,305.6,94.28,1.0001,0.5303,0.08014,0.4862,9.13e-06,33.28,0.11244,6.669,14.345,243.7,2.912,0.7881,5.986,68.06,1.09e-06,,12.719,24.03,9.1195,4.083,1.5148,0.0744,160.4,5.331,9.671,35.06,0.1163,1.9391,1.7967,0.9995,,0.1599,,1.3946,3.068,0.02831,8.948,2.918e-05,2003.0
42031.06,2256.9,305.3,95.98,1.0001,0.5241,0.07882,0.4903,9e-06,34.82,0.11224,6.872,14.48,236.9,2.88,0.789,5.942,68.35,1.06e-06,,12.339,23.5,8.8666,3.971,1.4761,0.0733,160.7,5.199,9.429,36.4,0.1137,1.906,1.7987,0.9997,,0.157,,1.3331,3.029,0.02799,8.754,2.848e-05,1958.0
43302.7,2317.6,310.7,101.68,1.0,0.5352,0.08135,0.526,9.2e-06,36.06,0.11304,7.032,15.004,241.3,3.008,0.8131,6.145,68.43,1.07e-06,,12.551,24.72,9.2145,4.285,1.5393,0.0744,168.0,5.337,9.664,37.41,0.1164,2.0307,1.8546,1.0001,,0.1624,,1.5623,3.168,0.02905,8.934,2.915e-05,1974.0
