BTC,ETH,BNB,SOL,USDC,XRP,DOGE,ADA,SHIB,AVAX,LINK,DOT,TRX,BCH,NEAR,MATIC,UNI,LTC,PEPE,ICP,DAI,ETC,RNDR,APT,HBAR,IMX,WIF,ATOM,FIL,ARB,XLM,STX,AR,XMR,GRT,FLOKI,FDUSD,TAO,OP,SUI,NOT,VET,MKR
22667.21,1658.52,305.1,25.51,,0.4129,0.08617,0.3652,1.223e-05,17.48,6.941,6.247,0.06272,128.1,2.388,1.026,6.67,90.28,,5.497,,22.46,0.699,10.9471,0.0725,0.638,,13.144,4.741,,0.0889,0.276,9.49,173.3,0.0838,,,,2.141,,,0.02236,715.0
22783.55,1626.66,299.0,24.57,,0.4034,0.08467,0.3687,1.186e-05,16.88,6.853,6.237,0.06172,128.0,2.324,0.9897,6.66,87.91,,5.416,,21.8,0.665,11.7565,0.0717,0.628,,13.083,4.95,,0.0904,0.271,9.21,172.9,0.0824,,,,2.202,,,0.0218,696.0
22707.88,1627.44,303.0,24.21,,0.4004,0.08824,0.3764,1.2e-05,17.34,6.984,6.207,0.06166,128.6,2.399,0.9939,6.888,87.58,,5.542,,22.55,0.691,13.3033,0.069,0.667,,13.328,5.427,,0.091,0.277,9.7,177.2,0.083,,,,2.181,,,0.02219,710.0
22916.45,1626.29,305.1,24.33,,0.4234,0.08851,0.375,1.199e-05,17.97,7.015,6.56,0.06273,133.2,2.544,0.9936,6.721,89.9,,5.804,,22.79,0.857,12.6744,0.0684,0.714,,13.06,5.422,,0.0946,0.288,9.8,179.0,0.0899,,,,2.167,,,0.02289,705.0
22632.89,1555.97,300.3,22.78,,0.4078,0.08392,0.3587,1.119e-05,17.0,6.661,6.191,0.06019,128.2,2.355,0.9555,6.296,87.19,,5.516,,21.18,0.771,12.3404,0.0627,0.645,,12.445,4.994,,0.0904,0.275,9.77,172.1,0.0894,,,,1.996,,,0.02185,661.0
23060.94,1611.94,306.9,24.52,,0.417,0.08654,0.3732,1.163e-05,17.79,6.954,6.399,0.0618,131.8,2.545,0.992,6.596,89.38,,5.761,,21.84,0.865,18.38,0.067,0.712,,13.561,5.45,,0.0924,0.282,10.28,173.2,0.0917,,,,2.38,,,0.02299,667.0
23009.65,1601.09,304.7,24.33,,0.4092,0.08633,0.3796,1.162e-05,18.08,7.169,6.472,0.06172,134.0,2.521,1.124,6.74,87.52,,5.83,,21.98,0.881,18.1429,0.0669,0.677,,13.111,5.433,,0.092,0.282,10.06,172.0,0.092,,,,2.216,,,0.02383,658.0
23074.16,1597.62,308.0,24.43,,0.4128,0.08723,0.3898,1.173e-05,21.2,7.384,6.585,0.06366,135.2,2.557,1.1588,6.871,88.89,,6.065,,22.02,0.866,17.7599,0.0694,0.677,,13.532,5.391,,0.0926,0.293,10.36,179.9,0.0958,,,,2.279,,,0.02488,672.0
23022.6,1572.1,306.1,24.0,,0.4078,0.08773,0.3819,1.182e-05,20.54,7.211,6.397,0.06312,132.7,2.47,1.1442,6.631,89.67,,6.089,,21.72,1.194,17.8192,0.0668,0.657,,13.22,5.274,,0.0928,0.288,10.22,184.2,0.0928,,,,2.186,,,0.02414,658.0
23742.3,1644.72,317.2,26.07,,0.4134,0.09009,0.3975,1.207e-05,20.99,7.372,6.611,0.06378,136.6,2.571,1.178,6.927,94.84,,6.239,,22.75,1.279,18.3357,0.0694,0.673,,13.803,5.477,,0.0944,0.294,10.92,186.3,0.0965,,,,2.376,,,0.02459,675.0
